topic,label,size,share_%,coherence_cv,keywords
-1,noise / outliers,1707,41.28,,"bank, central bank, central, boom, time, united, good, know, change, god"
0,mueller · fbi · fisa,711,17.19,0.5347,"mueller, fbi, fisa, house, rr, sessions, doj, did, sa, hrc"
1,fake news · fake · media,250,6.05,0.6393,"fake news, fake, media, divided, antifa, attacks, news, narrative, control narrative, control"
2,qa · master · 000,138,3.34,0.3429,"qa, master, 000, roger, review time, 5347, end near, loop, exact, sample"
3,patriot · thank · bless,93,2.25,0.3751,"patriot, thank, bless, god bless, patriots, thank service, god, service, feeling, preserving"
4,covid19 · virus · virus election,61,1.48,0.5175,"covid19, virus, virus election, homes, patients, lockdown, biden, benefits, election, death"
5,map · news unlocks · unlocks,59,1.43,0.6024,"map, news unlocks, unlocks, proves past, future proves, unlocks map, proves, past news, future, stringer"
6,anons · anon · impressive,54,1.31,0.2675,"anons, anon, impressive, anons knew, thank anon, knew, anons know, course anons, impressive impressive, message"
7,yes · aw · conf,53,1.28,0.3403,"yes, aw, conf, freedom, sat, ex, 271, stand freedom, ok, route"
8,coincidence coincidence · coincidence · odds,50,1.21,0.3874,"coincidence coincidence, coincidence, odds, coincidence twitter, interesting, late, boom boom, boom, discussed, attack coincidence"
9,insurgency · warfare · information warfare,49,1.19,0.5481,"insurgency, warfare, information warfare, subversion, control region, subversion violence, political control, organized use, violence seize, nullify"
10,ready · vigilant · buckle,48,1.16,0.3265,"ready, vigilant, buckle, surroundings, stand ready, alert, stay, stay alert, say, trains"
11,tweets · twitter · tweet,47,1.14,0.4035,"tweets, twitter, tweet, click, min, posts, twitter accounts, posts vs, spaces, visit"
12,voter · id · voter id,47,1.14,0.3512,"voter, id, voter id, ca, immigrants, votes, road, ballots, vote, blank"
13,ha · compromised · board,44,1.06,0.291,"ha, compromised, board, ga, ip, trip, site, verify, devices, godspeed"
14,vip · vip patriot · vip patriots,43,1.04,0.3012,"vip, vip patriot, vip patriots, enjoy, patriot, eyes, 55, patriots eyes, row, patriots"
15,believe coincidences · coincidences believe · coincidences,40,0.97,0.4154,"believe coincidences, coincidences believe, coincidences, believe, coincidences think, 20 2017, 107, day believe, did die, coincidences god"
16,worth remembering · remembering · worth,40,0.97,0.4645,"worth remembering, remembering, worth, worth following, movie, forget, makes, quarterback, context future, remember names"
17,wwg1wga wwg1wga · wwg1wga · wrwy,39,0.94,0.3415,"wwg1wga wwg1wga, wwg1wga, wrwy"
18,big coming · big · coming,38,0.92,0.345,"big coming, big, coming, charges coming, news coming, read understand, having fun, soon, fun, coming big"
19,jack · snowden · perry,34,0.82,0.3951,"jack, snowden, perry, john perry, perry barlow, mz, barlow, know know, hows, freedom press"
20,confirmed · correct · 12 confirmed,33,0.8,0.5692,"confirmed, correct, 12 confirmed, typo, confirmed good, time happy, sums perfectly, authentic, submission, gift"
21,mathematically impossible · mathematically · coincidences,33,0.8,0.4246,"mathematically impossible, mathematically, coincidences, impossible, point mathematically, helicopter, believe coincidences, world pray, history world, helicopter crash"
22,wwg1wga wwg1wga · wwg1wga · people wwg1wga,33,0.8,0.5087,"wwg1wga wwg1wga, wwg1wga, people wwg1wga, ww wwg1wga, ww, people"
23,win wwg1wga · wwg1wga · win,32,0.77,0.1926,"win wwg1wga, wwg1wga, win, united divided, fight wwg1wga, united wwg1wga, upload, stand united, natsec, stand"
24,panic dc · panic · dc panic,26,0.63,0.3715,"panic dc, panic, dc panic, dc, panic panic, extradition, meeting potus, req, declined, ll"
25,church · children darkness · children light,23,0.56,0.2458,"church, children darkness, children light, valid, holy, prayer, darkness, evil surrounds, deep state, ignorance"
26,false flags · im · deals,23,0.56,0.3794,"false flags, im, deals, witch hunt, witch, flags, fellow, hunt, decision, listen"
27,truth right · truth · truth truth,22,0.53,0.4254,"truth right, truth, truth truth, right, difficult, used today, stone, capable, people cure, entire time"
28,divided · unity · class,22,0.53,0.4191,"divided, unity, class, want, want divided, religion, race, wars want, strong, weak"
29,watching · world watching · watching world,20,0.48,0.3311,"watching, world watching, watching world, people watching, time wake, world, wake, follow think, remember names, free wwg1wga"
30,renegade · betrays · person,20,0.48,0.3123,"renegade, betrays, person, usss, language, russian, traitor, illegally surv, noun person, loves"
31,black · black pop · pop,19,0.46,0.3504,"black, black pop, pop, party, ds, black community, time witnessed, witnessed party, kkk, bible"
32,memes · meme · ready,19,0.46,0.4486,"memes, meme, ready, locked target, memes important, distraction, prep, locked, fear coincidence, memes truth"
33,people stupid · stupid · stupid people,18,0.44,0.3889,"people stupid, stupid, stupid people, jail, maxine, wives, leakers, dem panic, dem, enemy hes"
34,armor god · armor · lord,18,0.44,0.5229,"armor god, armor, lord, spirit, evil, strong lord, blood, comes, stand firm, spiritual"
35,meaning · double meanings · meanings,17,0.41,0.3592,"meaning, double meanings, meanings, double, meanings exist, game, random, meaning god, drop think, pretend"
36,great awakening · awakening · great,17,0.41,0.4836,"great awakening, awakening, great, awakening wwg1wga, handle care, handle, happens people, going biblical, awakening happens, able walk"
37,follow family · follow pen · pen,16,0.39,0.3356,"follow family, follow pen, pen, follow, water, york, new york, society, family, thought coming"
38,darpa · lifelog · fb,16,0.39,0.4918,"darpa, lifelog, fb, facebook, users, building, darpa fb, lifelog darpa, user, track"
39,trust · trust sessions · wray,16,0.39,0.288,"trust, trust sessions, wray, kansas, change believe, boom trust, control trust, plan trust, trust grassley, trust believe"
40,happening happening · happening · pattern,16,0.39,0.5137,"happening happening, happening, pattern, happening think, look close, spider, spider web, clearly, web, optics"
41,flagsout · love country · love,16,0.39,0.2719,"flagsout, love country, love, country, honor respect, country make, united fight, respect, honor, ca"
42,governments · happiness · government,15,0.36,0.9171,"governments, happiness, government, form, abolish, powers, design reduce, despotism, principles organizing, shall likely"
